Wall time,Step,Value
1519513848.4257374,1,0.625
1519513849.0885463,2,0.6875
1519513850.4083762,4,0.5625
1519513851.714876,6,0.71875
1519513852.3706572,7,0.65625
1519513853.0239637,8,0.75
1519513853.6731505,9,0.78125
1519513854.3367658,10,0.71875
1519513854.9831278,11,0.75
1519513855.6593206,12,0.71875
1519513856.307981,13,0.71875
1519513856.9776542,14,0.75
1519513857.6427138,15,0.65625
1519513858.299917,16,0.75
1519513858.962324,17,0.625
1519513859.6250083,18,0.625
1519513860.2815385,19,0.8125
1519513860.9337728,20,0.625
1519513861.5908911,21,0.75
1519513862.2436955,22,0.65625
1519513862.9048584,23,0.84375
1519513863.5754128,24,0.78125
1519513864.2308738,25,0.6875
1519513864.8883271,26,0.8125
1519513866.2143583,28,0.6875
1519513868.203737,31,0.78125
1519513868.8589463,32,0.84375
1519513869.5167985,33,0.71875
1519513870.176473,34,0.78125
1519513870.8939896,35,0.8125
1519513872.1921666,37,0.71875
1519513872.8670976,38,0.78125
1519513873.5254412,39,0.84375
1519513874.1851854,40,0.84375
1519513874.8396192,41,0.78125
1519513876.1361675,43,0.75
1519513876.8023658,44,0.84375
1519513877.480859,45,0.6875
1519513878.135128,46,0.8125
1519513878.789722,47,0.8125
1519513879.4618275,48,0.65625
1519513880.7984464,50,0.8125
1519513881.486183,51,0.6875
1519513882.7961774,53,0.8125
1519513883.4662564,54,0.84375
1519513884.128469,55,0.84375
1519513884.7952328,56,0.75
1519513885.4646628,57,0.78125
1519513886.1245556,58,0.75
1519513888.0075526,60,0.8823529481887817
1519513893.6365492,61,0.75
1519513894.2910812,62,0.75
1519513894.9478035,63,0.8125
1519513895.640205,64,0.71875
1519513896.2917125,65,0.875
1519513896.945477,66,0.78125
1519513897.593573,67,0.625
1519513898.250508,68,0.8125
1519513898.9339373,69,0.8125
1519513899.5849688,70,0.78125
1519513900.9076984,72,0.6875
1519513901.5643382,73,0.71875
1519513902.2133214,74,0.71875
1519513902.8883083,75,0.78125
1519513903.5527873,76,0.78125
1519513904.2043858,77,0.71875
1519513904.8726926,78,0.71875
1519513905.5306938,79,0.75
1519513906.1881468,80,0.65625
1519513907.5051358,82,0.71875
1519513908.1645017,83,0.65625
1519513909.4766383,85,0.65625
1519513910.1454957,86,0.71875
1519513910.8086214,87,0.8125
1519513911.4592474,88,0.65625
1519513912.1209564,89,0.8125
1519513912.7956543,90,0.75
1519513914.1203384,92,0.84375
1519513914.7845292,93,0.78125
1519513915.440836,94,0.875
1519513916.1104007,95,0.78125
1519513916.7841513,96,0.78125
1519513917.4433434,97,0.84375
1519513918.1012166,98,0.71875
1519513919.4312532,100,0.78125
1519513920.0936027,101,0.75
1519513920.7576268,102,0.78125
1519513921.415939,103,0.875
1519513922.0821245,104,0.8125
1519513922.733943,105,0.8125
1519513923.4070106,106,0.78125
1519513924.0753672,107,0.84375
1519513925.4027946,109,0.8125
1519513926.05934,110,0.8125
1519513926.712915,111,0.65625
1519513927.371587,112,0.75
1519513928.0301318,113,0.8125
1519513928.6839323,114,0.8125
1519513929.34281,115,0.84375
1519513929.9998078,116,0.8125
1519513930.666645,117,0.78125
1519513931.3413825,118,0.75
1519513932.0050929,119,0.78125
1519513932.4045901,120,0.9411764740943909
1519513937.3854058,121,0.75
1519513938.0541453,122,0.84375
1519513938.725983,123,0.8125
1519513939.3875825,124,0.65625
1519513940.0473695,125,0.84375
1519513940.7008631,126,0.71875
1519513941.3535185,127,0.59375
1519513942.0089293,128,0.84375
1519513943.3661098,130,0.78125
1519513944.0272253,131,0.875
1519513946.0177732,134,0.59375
1519513946.7387154,135,0.71875
1519513948.0439782,137,0.6875
1519513948.7100708,138,0.6875
1519513950.0353549,140,0.8125
1519513951.3452158,142,0.6875
1519513952.0074706,143,0.75
1519513952.6712437,144,0.84375
1519513953.333246,145,0.78125
1519513953.993137,146,0.78125
1519513954.6444287,147,0.84375
1519513955.952053,149,0.8125
1519513956.6296797,150,0.84375
1519513957.282202,151,0.875
1519513957.9412794,152,0.875
1519513959.2791224,154,0.9375
1519513959.929393,155,0.6875
1519513960.5958965,156,0.8125
1519513961.2729077,157,0.71875
1519513961.9251957,158,0.75
1519513962.6121626,159,0.8125
1519513963.2666225,160,0.84375
1519513964.5977602,162,0.78125
1519513965.2569458,163,0.90625
1519513966.615771,165,0.8125
1519513967.2713025,166,0.84375
1519513968.578715,168,0.6875
1519513969.2470992,169,0.84375
1519513969.9014606,170,0.90625
1519513971.2560947,172,0.6875
1519513971.9255147,173,0.71875
1519513972.580135,174,0.875
1519513973.889847,176,0.78125
1519513974.5681872,177,0.875
1519513975.2220027,178,0.78125
1519513975.8928494,179,0.875
1519513981.7373972,181,0.8125
1519513982.4143107,182,0.84375
1519513983.073343,183,0.875
1519513983.7357419,184,0.6875
1519513984.4062464,185,0.78125
1519513985.0687351,186,0.71875
1519513985.7433481,187,0.59375
1519513986.4067266,188,0.78125
1519513987.0714636,189,0.875
1519513988.3887582,191,0.8125
1519513989.044751,192,0.6875
1519513991.040516,195,0.78125
1519513993.7000976,199,0.78125
1519513994.3562987,200,0.78125
1519513995.6752279,202,0.78125
1519513996.3483682,203,0.75
