Wall time,Step,Value
1519468104.9867687,1,0.5625
1519468105.4807014,2,0.71875
1519468106.4669971,4,0.5
1519468107.4825647,6,0.75
1519468107.9717543,7,0.65625
1519468108.465351,8,0.78125
1519468108.965121,9,0.75
1519468109.4624128,10,0.6875
1519468109.9532864,11,0.78125
1519468110.4555466,12,0.8125
1519468110.9536812,13,0.8125
1519468111.4529085,14,0.65625
1519468111.9528978,15,0.59375
1519468112.444516,16,0.65625
1519468112.9466062,17,0.6875
1519468113.439918,18,0.78125
1519468113.93409,19,0.78125
1519468114.471174,20,0.71875
1519468114.9608908,21,0.8125
1519468115.473575,22,0.71875
1519468115.9762485,23,0.75
1519468116.4857464,24,0.6875
1519468116.9853907,25,0.65625
1519468117.4760613,26,0.84375
1519468118.4907815,28,0.90625
1519468119.9917066,31,0.78125
1519468120.515772,32,0.875
1519468121.007897,33,0.75
1519468121.514828,34,0.8125
1519468122.0129707,35,0.75
1519468123.0058308,37,0.8125
1519468123.4998095,38,0.75
1519468124.005758,39,0.84375
1519468124.498653,40,0.8125
1519468124.9963675,41,0.84375
1519468126.0050104,43,0.96875
1519468126.507164,44,0.9375
1519468127.0161755,45,0.90625
1519468127.5201857,46,0.875
1519468128.0320542,47,0.78125
1519468128.81623,48,0.71875
1519468129.8261,50,0.90625
1519468130.3224304,51,0.71875
1519468131.309021,53,0.8125
1519468131.8735945,54,0.875
1519468132.3777754,55,0.875
1519468132.8645923,56,0.71875
1519468133.3585863,57,0.875
1519468133.8656697,58,0.8125
1519468135.4546325,60,0.8235294222831726
1519468139.8521543,61,0.8125
1519468140.354656,62,0.90625
1519468140.852319,63,0.84375
1519468141.3584785,64,0.6875
1519468141.8649182,65,0.78125
1519468142.368887,66,0.75
1519468142.8884263,67,0.5625
1519468143.3791995,68,0.8125
1519468143.8741798,69,0.9375
1519468144.3799973,70,0.84375
1519468145.3853745,72,0.78125
1519468145.8809128,73,0.78125
1519468146.3755434,74,0.71875
1519468146.8758168,75,0.8125
1519468147.370029,76,0.8125
1519468147.8672876,77,0.8125
1519468148.3618097,78,0.8125
1519468148.9136891,79,0.75
1519468149.4065077,80,0.8125
1519468150.405238,82,0.75
1519468150.8996673,83,0.84375
1519468151.8854632,85,0.75
1519468152.3841088,86,0.75
1519468152.8766968,87,0.78125
1519468153.3774269,88,0.875
1519468153.8811033,89,0.75
1519468154.3706288,90,0.875
1519468155.3862803,92,0.90625
1519468155.8839755,93,0.90625
1519468156.387306,94,0.84375
1519468156.8831363,95,0.71875
1519468157.3835309,96,0.875
1519468157.8838055,97,0.78125
1519468158.3756971,98,0.78125
1519468159.3607745,100,0.84375
1519468159.8495257,101,0.90625
1519468160.3501625,102,0.8125
1519468160.8512878,103,0.9375
1519468161.3543024,104,0.8125
1519468161.8578675,105,0.875
1519468162.3798015,106,0.9375
1519468162.8800335,107,0.75
1519468163.8765304,109,0.8125
1519468164.3807676,110,0.875
1519468164.8712554,111,0.625
1519468165.3808866,112,0.78125
1519468165.8831713,113,0.75
1519468166.403397,114,0.84375
1519468166.8921995,115,0.875
1519468167.4040816,116,0.90625
1519468167.93682,117,0.875
1519468168.445496,118,0.78125
1519468168.9559662,119,0.875
1519468169.2699578,120,0.8823529481887817
1519468173.4803493,121,0.78125
1519468173.9680948,122,0.9375
1519468174.460253,123,0.78125
1519468174.9783087,124,0.6875
1519468175.4826145,125,0.84375
1519468175.9757867,126,0.875
1519468176.4772367,127,0.65625
1519468176.9707088,128,0.8125
1519468177.9865596,130,0.90625
1519468178.5097063,131,0.8125
1519468180.0116396,134,0.78125
1519468180.5231555,135,0.875
1519468181.514121,137,0.78125
1519468182.0205655,138,0.78125
1519468183.023688,140,0.875
1519468184.0322511,142,0.875
1519468184.5380347,143,0.84375
1519468185.0327406,144,0.84375
1519468185.5427904,145,0.71875
1519468186.0480812,146,0.75
1519468186.5524752,147,0.8125
1519468187.5871468,149,0.875
1519468188.0761232,150,0.875
1519468188.5784178,151,0.78125
1519468189.0756545,152,0.875
1519468190.0843482,154,0.9375
1519468190.5989366,155,0.78125
1519468191.0927906,156,0.875
1519468191.582776,157,0.71875
1519468192.0909522,158,0.84375
1519468192.5812669,159,0.84375
1519468193.0872061,160,0.875
1519468194.0947335,162,0.75
1519468194.5997941,163,0.9375
1519468195.5817604,165,0.84375
1519468196.075478,166,0.9375
1519468197.1238225,168,0.78125
1519468197.6210144,169,0.78125
1519468198.1255324,170,0.90625
1519468199.136447,172,0.84375
1519468199.6279664,173,0.75
